Date,Open,High,Low,Close,Adj Close,Volume
2020-04-26,8760.750000,8770.000000,8730.000000,8747.000000,8747.000000,556167
2020-04-27,8836.750000,8898.000000,8789.000000,8819.750000,8819.750000,139152562
2020-04-28,8795.500000,8945.750000,8654.500000,8764.250000,8764.250000,157506137
2020-04-29,8759.250000,9041.000000,8733.750000,8719.750000,8719.750000,417522
2020-04-30,9109.500000,9144.750000,8875.750000,9036.500000,9036.500000,448803
2020-05-01,8847.000000,8879.000000,8672.000000,8988.500000,8988.500000,403881
2020-05-03,8624.000000,8642.250000,8562.000000,8579.500000,8579.500000,955357
2020-05-04,8624.000000,8828.000000,8556.250000,8718.000000,8718.000000,376472
2020-05-05,8843.500000,9020.000000,8822.250000,8956.000000,8956.000000,138527264
2020-05-06,8929.250000,9056.500000,8916.000000,8961.250000,8961.250000,160386979
2020-05-07,9022.750000,9137.500000,9004.000000,9117.000000,9117.000000,150146947
2020-05-08,9208.000000,9238.000000,9119.000000,9222.500000,9222.500000,147616823
2020-05-10,9194.750000,9257.250000,9174.750000,9249.000000,9249.000000,673663
2020-05-11,9274.250000,9339.000000,9118.500000,9271.750000,9271.750000,164856701
2020-05-12,9253.250000,9341.250000,9008.000000,9012.750000,9012.750000,182119666
2020-05-13,9086.500000,9202.750000,8878.250000,9015.750000,9015.750000,252786223
2020-05-14,9000.250000,9107.500000,8847.000000,9099.750000,9099.750000,241955317
2020-05-15,9095.500000,9148.500000,8925.500000,9117.500000,9117.500000,201546625
2020-05-17,9135.000000,9179.000000,9110.250000,9171.750000,9171.750000,596131
2020-05-18,9195.500000,9361.500000,9175.000000,9332.000000,9332.000000,158602322
2020-05-19,9313.250000,9417.250000,9273.000000,9317.250000,9317.250000,155396633
2020-05-20,9343.250000,9503.250000,9322.000000,9483.750000,9483.750000,139781919
2020-05-21,9444.250000,9510.750000,9348.250000,9397.750000,9397.750000,156958095
2020-05-22,9301.000000,9422.500000,9241.500000,9421.500000,9421.500000,159733330
2020-05-24,9448.000000,9457.500000,9438.750000,9456.000000,9456.000000,253197
2020-05-25,9444.250000,9536.500000,9443.250000,9515.250000,9515.250000,47485705
2020-05-26,9568.500000,9604.000000,9373.000000,9395.000000,9395.000000,238787861
2020-05-27,9481.500000,9508.000000,9173.500000,9430.750000,9430.750000,216918776
2020-05-28,9380.750000,9565.500000,9320.750000,9420.750000,9420.750000,199546130
2020-05-29,9435.000000,9590.500000,9372.000000,9586.750000,9586.750000,182769572
2020-05-31,9513.000000,9524.500000,9450.250000,9498.000000,9498.000000,952938
2020-06-01,9544.250000,9605.750000,9481.250000,9564.750000,9564.750000,157694212
2020-06-02,9577.500000,9676.500000,9504.750000,9665.000000,9665.000000,151827908
2020-06-03,9665.000000,9728.250000,9640.750000,9701.250000,9701.250000,150449930
2020-06-04,9666.000000,9742.500000,9572.250000,9621.250000,9621.250000,169338663
2020-06-05,9656.000000,9846.250000,9601.750000,9807.750000,9807.750000,188606099
2020-06-07,9819.000000,9875.000000,9808.250000,9871.250000,9871.250000,576941
2020-06-08,9839.500000,9901.000000,9747.000000,9878.500000,9878.500000,159567316
2020-06-09,9884.750000,10005.250000,9811.500000,9984.000000,9984.000000,163787634
2020-06-10,10009.000000,10155.500000,9958.500000,10049.250000,10049.250000,177911041
